"Freq [GHz]","ang_deg(S(4,2)) [deg]","ang_deg(S(3,2)) [deg]"
0.8,-38.7021435372255,-123.96479573398
0.801,-38.9064759391436,-124.25043403035
0.802,-39.1112889420107,-124.535640594116
0.803,-39.3165740613316,-124.820417424591
0.804,-39.5223229635243,-125.104766589027
0.805,-39.7285274647314,-125.388690222271
0.806,-39.9351795296164,-125.672190526429
0.807,-40.1422712701483,-125.955269770533
0.808,-40.3497949443747,-126.237930290216
0.809,-40.5577429551838,-126.520174487388
0.81,-40.7661078490577,-126.802004829925
0.811,-40.9748823148164,-127.083423851357
0.812,-41.1840591823556,-127.36443415057
0.813,-41.393631421376,-127.645038391511
0.814,-41.6035921401082,-127.925239302899
0.815,-41.8139345840319,-128.20503967795
0.816,-42.024652134591,-128.484442374103
0.817,-42.235738307905,-128.76345031276
0.818,-42.4471867534779,-129.042066479034
0.819,-42.6589912529041,-129.320293921501
0.82,-42.8711457185745,-129.598135751969
0.821,-43.0836441923791,-129.87559514525
0.822,-43.2964808444119,-130.152675338946
0.823,-43.5096499716737,-130.429379633248
0.824,-43.7231459967772,-130.705711390735
0.825,-43.9369634666526,-130.981674036198
0.826,-44.1510970512543,-131.257271056463
0.827,-44.3655415422709,-131.532506000232
0.828,-44.5802918518364,-131.807382477938
0.829,-44.7953430112449,-132.081904161602
0.83,-45.0106901696681,-132.356074784715
0.831,-45.2263285928765,-132.629898142122
0.832,-45.4422536619642,-132.903378089928
0.833,-45.6584608720777,-133.176518545408
0.834,-45.8749458311494,-133.449323486938
0.835,-46.0917042586343,-133.721796953938
0.836,-46.3087319842533,-133.993943046823
0.837,-46.5260249467396,-134.265765926981
0.838,-46.7435791925911,-134.537269816749
0.839,-46.9613908748275,-134.808458999422
0.84,-47.1794562517526,-135.079337819261
0.841,-47.3977716857226,-135.349910681525
0.842,-47.6163336419183,-135.620182052521
0.843,-47.8351386871242,-135.89015645966
0.844,-48.0541834885123,-136.15983849154
0.845,-48.2734648124313,-136.42923279804
0.846,-48.4929795232012,-136.698344090429
0.847,-48.7127245819133,-136.967177141497
0.848,-48.9326970452355,-137.235736785703
0.849,-49.1528940642226,-137.504027919332
0.85,-49.373312883132,-137.772055500687
0.851,-49.5939508382433,-138.039824550278
0.852,-49.8148053566842,-138.307340151049
0.853,-50.0358739552597,-138.574607448609
0.854,-50.257154239286,-138.841631651493
0.855,-50.4786439014291,-139.108418031433
0.856,-50.7003407205462,-139.374971923659
0.857,-50.9222425605317,-139.641298727209
0.858,-51.144347369166,-139.907403905265
0.859,-51.3666531769678,-140.173292985512
0.86,-51.5891580960482,-140.438971560513
0.861,-51.8118603189679,-140.704445288107
0.862,-52.0347581175963,-140.969719891828
0.863,-52.2578498419711,-141.234801161347
0.864,-52.4811339191608,-141.499694952935
0.865,-52.7046088521254,-141.76440718995
0.866,-52.9282732185797,-142.028943863342
0.867,-53.1521256698539,-142.29331103219
0.868,-53.3761649297552,-142.557514824252
0.869,-53.6003897934259,-142.821561436545
0.87,-53.8247991262016,-143.085457135951
0.871,-54.049391862464,-143.349208259841
0.872,-54.2741670044926,-143.612821216726
0.873,-54.4991236213104,-143.876302486939
0.874,-54.724260847526,-144.139658623334
0.875,-54.9495778821692,-144.402896252014
0.876,-55.17507398752,-144.666022073089
0.877,-55.4007484879307,-144.929042861457
0.878,-55.6266007686399,-145.191965467608
0.879,-55.8526302745764,-145.454796818467
0.88,-56.0788365091536,-145.717543918251
0.881,-56.3052190330528,-145.980213849366
0.882,-56.5317774629938,-146.242813773325
0.883,-56.7585114704924,-146.505350931697
0.884,-56.9854207806031,-146.767832647087
0.885,-57.2125051706466,-147.030266324147
0.886,-57.4397644689197,-147.292659450608
0.887,-57.667198553387,-147.555019598358
0.888,-57.8948073503533,-147.817354424537
0.889,-58.1225908331141,-148.079671672675
0.89,-58.3505490205839,-148.341979173848
0.891,-58.5786819759002,-148.604284847884
0.892,-58.8069898050019,-148.866596704587
0.893,-59.0354726551789,-149.128922845004
0.894,-59.2641307135939,-149.391271462719
0.895,-59.4929642057716,-149.653650845186
0.896,-59.7219733940555,-149.916069375098
0.897,-59.9511585760291,-150.178535531782
0.898,-60.1805200828995,-150.441057892644
0.899,-60.4100582778419,-150.703645134639
0.9,-60.6397735543012,-150.966306035783
0.901,-60.8696663342507,-151.229049476697
0.902,-61.0997370664019,-151.491884442198
0.903,-61.3299862243667,-151.754820022923
0.904,-61.5604143047658,-152.017865416986
0.905,-61.7910218252826,-152.281029931685
0.906,-62.0218093226583,-152.544322985245
0.907,-62.2527773506263,-152.807754108595
0.908,-62.4839264777809,-153.071332947195
0.909,-62.7152572853785,-153.335069262902
0.91,-62.946770365067,-153.59897293587
0.911,-63.1784663165388,-153.863053966505
0.912,-63.4103457451055,-154.127322477455
0.913,-63.6424092591876,-154.39178871564
0.914,-63.8746574677172,-154.656463054339
0.915,-64.1070909774478,-154.921355995304
0.916,-64.3397103901666,-155.186478170935
0.917,-64.5725162998051,-155.451840346489
0.918,-64.8055092894418,-155.717453422337
0.919,-65.0386899281927,-155.983328436275
0.92,-65.2720587679826,-156.249476565868
0.921,-65.5056163401925,-156.515909130853
0.922,-65.7393631521761,-156.78263759558
0.923,-65.9732996836397,-157.049673571512
0.924,-66.2074263828769,-157.317028819758
0.925,-66.4417436628539,-157.584715253667
0.926,-66.6762518971345,-157.852744941467
0.927,-66.9109514156401,-158.121130108948
0.928,-67.1458425002342,-158.389883142201
0.929,-67.3809253801239,-158.659016590405
0.93,-67.6162002270697,-158.928543168654
0.931,-67.8516671503926,-159.198475760853
0.932,-68.0873261917707,-159.468827422642
0.933,-68.3231773198132,-159.739611384383
0.934,-68.5592204244018,-160.010841054196
0.935,-68.7954553107881,-160.282530021038
0.936,-69.0318816934348,-160.554692057836
0.937,-69.2684991895876,-160.827341124669
0.938,-69.5053073125665,-161.100491371996
0.939,-69.7423054647607,-161.374157143937
0.94,-69.9794929303134,-161.648352981596
0.941,-70.2168688674817,-161.923093626436
0.942,-70.4544323006556,-162.198394023699
0.943,-70.692182112019,-162.474269325872
0.944,-70.930117032835,-162.750734896196
0.945,-71.1682356343382,-163.027806312224
0.946,-71.406536318214,-163.305499369417
0.947,-71.6450173066442,-163.583830084781
0.948,-71.8836766318988,-163.862814700549
0.949,-72.1225121254508,-164.1424696879
0.95,-72.3615214065906,-164.422811750708
0.951,-72.6007018705168,-164.703857829336
0.952,-72.8400506758751,-164.985625104456
0.953,-73.079564731721,-165.268131000901
0.954,-73.3192406838756,-165.551393191544
0.955,-73.559074900646,-165.835429601204
0.956,-73.7990634578786,-166.12025841057
0.957,-74.0392021233118,-166.405898060147
0.958,-74.2794863401947,-166.692367254217
0.959,-74.5199112101343,-166.979684964806
0.96,-74.7604714751334,-167.267870435664
0.961,-75.00116149878,-167.556943186243
0.962,-75.2419752465445,-167.846923015673
0.963,-75.4829062651421,-168.13783000673
0.964,-75.7239476609123,-168.429684529792
0.965,-75.9650920771691,-168.722507246771
0.966,-76.2063316704675,-169.016319115022
0.967,-76.4476580857354,-169.311141391214
0.968,-76.6890624302129,-169.606995635167
0.969,-76.9305352461391,-169.903903713628
0.97,-77.1720664821261,-170.201887804003
0.971,-77.4136454631521,-170.500970398007
0.972,-77.6552608591067,-170.801174305246
0.973,-77.8969006518157,-171.102522656708
0.974,-78.1385521004688,-171.405038908154
0.975,-78.380201705371,-171.708746843396
0.976,-78.6218351699349,-172.013670577452
0.977,-78.8634373608245,-172.319834559563
0.978,-79.1049922661595,-172.627263576057
0.979,-79.3464829516828,-172.935982753039
0.98,-79.5878915147895,-173.246017558906
0.981,-79.8291990363129,-173.557393806647
0.982,-80.0703855299516,-173.870137655935
0.983,-80.3114298892256,-174.184275614962
0.984,-80.5523098318342,-174.499834542029
0.985,-80.7930018412906,-174.816841646834
0.986,-81.033481105695,-175.135324491467
0.987,-81.2737214535079,-175.455310991061
0.988,-81.5136952861734,-175.776829414091
0.989,-81.7533735074393,-176.099908382276
0.99,-81.9927254492109,-176.424576870077
0.991,-82.2317187937702,-176.750864203734
0.992,-82.4703194921825,-177.078800059832
0.993,-82.7084916787062,-177.408414463341
0.994,-82.946197581013,-177.739737785112
0.995,-83.1833974260175,-178.072800738779
0.996,-83.4200493411052,-178.407634377026
0.997,-83.6561092505424,-178.744270087183
0.998,-83.8915307668403,-179.082739586103
0.999,-84.1262650768372,-179.423074914267
1,-84.360260822254,-179.765308429077
